name,rating_score,rating_count,pieces_sold,price
SANSUI 24 Inch 100Hz FHD Monitor,4.4 out of 5 stars,775,100+ bought in past month,$94.99
34 Inch Ultrawide Curved Gaming Monitor,4.7 out of 5 stars,4,7K+ bought in past month,$269.99
Intehill Portable Monitor Touchscreen,4.5 out of 5 stars,"33,393",10K+ bought in past month,$299.00
Sceptre 24-inch Professional Thin 1080p LED Monitor 99% sRGB 2x HDMI VGA Build-in Speakers,4.4 out of 5 stars,"8,379",10K+ bought in past month,$93.11
ARZOPA Portable Monitor,4.6 out of 5 stars,"4,785",10K+ bought in past month,$99.97
PHILIPS 22 inch Class Thin Full HD (1920 x 1080) Monitor,4.5 out of 5 stars,"7,680",7K+ bought in past month,$59.98
MNN Portable Monitor 15.6inch FHD 1080P USB C HDMI Gaming Ultra-Slim IPS Display w/Smart Cover & Speakers,4.6 out of 5 stars,"22,894",4K+ bought in past month,$129.99
Sceptre Curved 24-inch Gaming Monitor 1080p R1500 98% sRGB HDMI x2 VGA Build-in Speakers,4.6 out of 5 stars,"3,992",3K+ bought in past month,$69.99
Dell SE2422HX Monitor - 24 inch FHD (1920 x 1080) 16:9 Ratio with Comfortview (TUV-Certified),4.4 out of 5 stars,"6,658",4K+ bought in past month,$64.98
Dell S2721QS Monitor 27 Inch,4.5 out of 5 stars,"5,135",1K+ bought in past month,$89.98
"SAMSUNG 27"" T35F Series FHD 1080p Computer Monitor",4.3 out of 5 stars,289,300+ bought in past month,$99.97
LG 34GS95QE 34-inch Ultragear OLED Curved Gaming Monitor WQHD 800R 240Hz 0.03ms DisplayHDR True Black 400 AMD FreeSync Premium Pro NVIDIA G-Sync HDMI 2.1 DisplayPort Tilt/Height/Swivel Stand Black,4.5 out of 5 stars,242,200+ bought in past month,$119.99
KTC 32 Inch 2K Computer Monitor,4.4 out of 5 stars,744,50+ bought in past month,$99.99
CRUA 27 Inch Gaming Monitor,4.3 out of 5 stars,"1,427",4K+ bought in past month,$149.99
32 Inch Computer Monitor,4.5 out of 5 stars,"6,427",3K+ bought in past month,$753.38
Sceptre Curved 24.5-inch Gaming Monitor up to 240Hz 1080p R1500 1ms DisplayPort x2 HDMI x2 Blue Light Shift Build-in Speakers,4.6 out of 5 stars,"1,977",3K+ bought in past month,"$1,299.99"
Laptop Screen Extender,4.6 out of 5 stars,"13,801",2K+ bought in past month,$199.99
"Sceptre Curved 27"" FHD 1080p 75Hz LED Monitor HDMI VGA Build-In Speakers",4.6 out of 5 stars,"11,921",4K+ bought in past month,$139.99
LG UltraGear QHD 27-Inch Gaming Monitor 27GL83A-B - IPS 1ms (GtG),4.5 out of 5 stars,"24,662",1K+ bought in past month,$189.99
"Sceptre 20"" 1600x900 75Hz Ultra Thin LED Monitor 2x HDMI VGA Built-in Speakers",4.6 out of 5 stars,"4,026",6K+ bought in past month,$149.99
Dell S3422DWG Curved Gaming Monitor - 34 Inch 1800R Curved Screen with 144Hz Refresh Rate,4.5 out of 5 stars,"4,449",2K+ bought in past month,$149.97
15.6inch Portable Monitor,4.6 out of 5 stars,"17,435",4K+ bought in past month,$179.99
"AOC C27G2Z 27"" Curved Frameless Ultra-Fast Gaming Monitor",4.5 out of 5 stars,"1,315",1K+ bought in past month,$99.97
Portable Monitor - Ultra-Slim 15.6 Inch Full HD IPS Laptop Screen Extender with Adjustable Stand for Laptop,4.4 out of 5 stars,739,2K+ bought in past month,$119.97
"Dell UltraSharp U2723QE 27"" 4K UHD WLED LCD Monitor - 16:9 - Black",4.5 out of 5 stars,"2,555",3K+ bought in past month,$199.99
Acer Nitro KG241Y Sbiip 23.8” Full HD (1920 x 1080) VA Gaming Monitor | AMD FreeSync Premium Technology | 165Hz Refresh Rate | 1ms (VRB) | ZeroFrame Design | 1 x Display Port 1.2 & 2 x HDMI 2.0,4.4 out of 5 stars,957,1K+ bought in past month,$299.99
ARZOPA Portable Monitor 15.6'' FHD 1080P - Ultra-Slim Portable Laptop Monitor with Kickstand - IPS Display for PC,4.5 out of 5 stars,"2,254",1K+ bought in past month,$65.37
LG UltraFine UHD 27-Inch 4K UHD 2160p Computer Monitor 27UN850-W,4.5 out of 5 stars,"4,138",3K+ bought in past month,$69.97
"Acer Nitro 27"" WQHD 2560 x 1440 PC Gaming IPS Monitor | AMD FreeSync Premium Up to 180Hz Refresh 0.5ms DCI-P3 95% 1 Display Port 1.2 & 2 HDMI 2.0 XV271U M3bmiiprx",4.5 out of 5 stars,"1,334",100+ bought in past month,$85.99
VILVA Portable-Monitor-for-Laptop - 15.6'' 1080P FHD IPS Display USB-C HDMI Portable Monitor for Laptop with Cover and Speakers External Monitor for Laptop/PC/Mac/Phone/Xbox Switch/PS4/,4.7 out of 5 stars,63,200+ bought in past month,$155.99
Laptop Screen Extender,4.5 out of 5 stars,237,,$179.99
memzuoix 34-Inch Ultrawide Curved Gaming Monitor,4.6 out of 5 stars,146,,$69.99
KTC 24 Inch QHD 2560x1440 IPS Computer Monitor,,,,$81.99
SANSUI 24 Inch 100Hz FHD Monitor,4.4 out of 5 stars,775,100+ bought in past month,$94.99
34 Inch Ultrawide Curved Gaming Monitor,4.3 out of 5 stars,"1,427",50+ bought in past month,$269.99
32 Inch Computer Monitor,4.5 out of 5 stars,"1,486",1K+ bought in past month,$149.99
Laptop Screen Extender,4.6 out of 5 stars,"2,577",1K+ bought in past month,$279.99
LG FHD 32-Inch Computer Monitor 32ML600M-B,4.5 out of 5 stars,549,1K+ bought in past month,$199.99
SAMSUNG FT45 Series 24-Inch FHD 1080p Computer Monitor,4.4 out of 5 stars,"3,669",1K+ bought in past month,$129.99
"Acer KC242Y Hbi 23.8"" Full HD (1920 x 1080) Zero-Frame Gaming Office Monitor | AMD FreeSync Technology | 100Hz | 1ms (VRB) | Low Blue Light | Tilt | HDMI & VGA Ports",4.6 out of 5 stars,"15,884",1K+ bought in past month,$159.99
"Acer CB272 Ebmiprx 27"" FHD 1920 x 1080 Zero Frame Home Office Monitor | AMD FreeSync | 1ms VRB | 100Hz | 99% sRGB | Height Adjustable Stand with Swivel",4.5 out of 5 stars,"11,919",1K+ bought in past month,$89.99
Sceptre 30-inch Curved Gaming Monitor 21:9 2560x1080 Ultra Wide/ Slim HDMI DisplayPort up to 200Hz Build-in Speakers,4.3 out of 5 stars,"2,249",500+ bought in past month,$117.99
"SAMSUNG 34"" Odyssey G5 Ultra-Wide Gaming Monitor with 1000R Curved Screen",4.6 out of 5 stars,"1,487",1K+ bought in past month,$129.99
"LG 24MP60G-B 24"" Full HD (1920 x 1080) IPS Monitor with AMD FreeSync and 1ms MBR Response Time",4.3 out of 5 stars,818,2K+ bought in past month,$139.99
ARZOPA 16.1'' 144Hz Portable Gaming Monitor,4.6 out of 5 stars,629,1K+ bought in past month,$199.97
LG 34WP60C-B 34-Inch 21:9 Curved UltraWide QHD (3440x1440) VA Display with sRGB 99% Color Gamut and HDR 10,4.6 out of 5 stars,"1,951",1K+ bought in past month,$336.99
"Acer Nitro 27"" 1500R Curved Full HD PC Gaming Monitor | AMD FreeSync Premium | 240Hz | 1ms VRB | Speakers | HDR10 | ErgoStand | VESA Mounting Compliant | 1 x DP 1.4 & 2 x HDMI 2.0 | XZ270 X2bmiiphx",4.3 out of 5 stars,"3,379",2K+ bought in past month,$549.99
SANSUI Monitor 24 Inch 100Hz PC Monitor,4.5 out of 5 stars,242,300+ bought in past month,$139.99
KTC 32 Inch 2K Computer Monitor,4.3 out of 5 stars,"2,524",300+ bought in past month,$169.99
CRUA 30Inch Ultrawide Curved Monitor,4.5 out of 5 stars,237,2K+ bought in past month,$306.09
memzuoix 34-Inch Ultrawide Curved Gaming Monitor,4.3 out of 5 stars,"1,597",2K+ bought in past month,$349.99
"Packard Bell 21"" FHD Monitor",4.4 out of 5 stars,"4,852",1K+ bought in past month,$159.99
InnoView Portable Monitor,4.4 out of 5 stars,"1,529",2K+ bought in past month,$249.99
"Sceptre 4K IPS 27"" 3840 x 2160 UHD Monitor up to 70Hz DisplayPort HDMI 99% sRGB Build-in Speakers",4.5 out of 5 stars,"1,854",1K+ bought in past month,$79.99
Teamgee Laptop Screen Extender,4.6 out of 5 stars,"1,046",500+ bought in past month,$109.99
"14"" Laptop Monitor Extender",4.4 out of 5 stars,"4,965",500+ bought in past month,$199.99
ASUS ROG Swift 32” 4K OLED Gaming Monitor (PG32UCDM) - UHD (3840 x 2160),4.5 out of 5 stars,"1,416",1K+ bought in past month,$159.99
SANSUI 34-Inch Curved Gaming Monitor UWQHD 3440 x 1440 165Hz Curved 1500R - PIP/PBP,4.3 out of 5 stars,"1,620",1K+ bought in past month,$179.99
ViewSonic VA1655 15.6 Inch 1080p Portable IPS Monitor with a Built-in Stand,4.4 out of 5 stars,775,1K+ bought in past month,$269.99
SANSUI 27 Inch Monitor,4.4 out of 5 stars,"1,295",1K+ bought in past month,$299.99
Teamgee Laptop Screen Extender,4.5 out of 5 stars,787,1K+ bought in past month,$59.99
Acer SB272 27 Inch FHD (1920x1080P) IPS ZeroFrame Home & Office Monitor | AMD FreeSync Technology | Ultra-Thin design | 100Hz Response | Tilt,4.6 out of 5 stars,"8,229",200+ bought in past month,$89.99
"ASUS TUF Gaming 32"" 1440P HDR Curved Monitor (VG32VQ1B) - QHD (2560 x 1440)",4.7 out of 5 stars,4,,$139.99
Intehill Portable Monitor Touchscreen,4.4 out of 5 stars,744,,$192.26
CRUA 27 Inch Gaming Monitor,4.3 out of 5 stars,116,,$149.99
27 inch Gaming Monitor,,,,$113.99
SANSUI 24 Inch 100Hz FHD Monitor,4.4 out of 5 stars,775,100+ bought in past month,$94.99
34 Inch Ultrawide Curved Gaming Monitor,4.3 out of 5 stars,"1,427",50+ bought in past month,$269.99
32 Inch Computer Monitor,4.6 out of 5 stars,369,1K+ bought in past month,$149.99
"Laptop Screen Extender 14"" 1080P FHD IPS",4.3 out of 5 stars,493,2K+ bought in past month,$299.99
AYY Portable Monitor for Laptop 15 Inch,4.4 out of 5 stars,878,500+ bought in past month,$49.99
14’’ Triple Laptop Screen Extender,4.6 out of 5 stars,"42,766",1K+ bought in past month,$299.99
Acer 21.5 Inch Full HD (1920 x 1080) IPS Ultra-Thin Zero Frame Computer Monitor (HDMI & VGA Port),4.6 out of 5 stars,843,500+ bought in past month,$89.99
FHH Laptop Screen Extender,4.7 out of 5 stars,"1,998",1K+ bought in past month,$269.99
"Acer Nitro 27"" Full HD 1920 x 1080 1500R Curve PC Gaming Monitor | AMD FreeSync Premium | 165Hz Refresh | 1ms (VRB) | ZeroFrame Design | 1 x Display Port 1.4 & 2 x HDMI 2.0 Ports ED270R Mbmiiphx",4.3 out of 5 stars,"2,713",1K+ bought in past month,$129.99
"SAMSUNG 34"" ViewFinity S50GC Series Ultra-WQHD Monitor",4.5 out of 5 stars,931,500+ bought in past month,$161.99
ViewSonic VA2447-MH 24 Inch Full HD 1080p Monitor with Ultra-Thin Bezel,4.4 out of 5 stars,"4,304",500+ bought in past month,$379.99
LG UltraWide QHD 34-Inch Curved Computer Monitor 34WQ73A-B,4.5 out of 5 stars,"1,766",1K+ bought in past month,$399.99
UPERFECT 2K 120Hz Portable Gaming Monitor,4.3 out of 5 stars,"4,813",500+ bought in past month,$143.58
"SAMSUNG 32"" UJ59 Series 4K UHD (3840x2160) Computer Monitor",4.4 out of 5 stars,231,500+ bought in past month,$239.99
"LG 27"" UltraGear QHD (2560x1440) Gaming Monitor",4.3 out of 5 stars,"2,524",300+ bought in past month,$299.99
CRUA 30Inch Ultrawide Curved Monitor,4.5 out of 5 stars,237,300+ bought in past month,$339.99
memzuoix 34-Inch Ultrawide Curved Gaming Monitor,4.5 out of 5 stars,242,500+ bought in past month,$447.86
KTC 32 Inch 2K Computer Monitor,4.6 out of 5 stars,16,500+ bought in past month,$499.99
SAMSUNG 32-Inch S30B Series Business Flat Computer Monitor,4.6 out of 5 stars,"3,916",1K+ bought in past month,$159.99
Sceptre 32-inch Curved Gaming Monitor Overdrive up to 240Hz DisplayPort 165Hz 144Hz HDMI AMD FreeSync Build-in Speakers,4.4 out of 5 stars,"6,697",1K+ bought in past month,$179.99
KOORUI 24-inch Computer Monitor Full HD 1920 x 1080p VA Display 75Hz 3000:1 Contrast Ratio with HDMI,4.6 out of 5 stars,"4,179",500+ bought in past month,$269.99
AOC 24B2H2 24” Frameless IPS Monitor,4.5 out of 5 stars,"1,456",500+ bought in past month,$299.99
ASUS ROG Strix 27” QHD (2560x1440) HDR400 USB-C Gaming Monitor (XG27ACS),4.8 out of 5 stars,116,500+ bought in past month,$199.99
Laptop Screen Extender,4.4 out of 5 stars,"2,432",500+ bought in past month,$199.99
LG 27GN800-B UltraGear 27 inch QHD (2560x1440) IPS 144Hz 1ms Gaming Monitor AMD FreeSync Premium G-Sync Compatible HDR10 HDMI DisplayPort Black,4.5 out of 5 stars,"1,263",1K+ bought in past month,$189.97
LG 27MS500-B 27 inch IPS FHD (1920x1080) 100Hz 5ms Reader Mode Borderless Design OnScreen Control Black Stabilizer DAS Crosshair HDMI Black,4.3 out of 5 stars,"1,149",500+ bought in past month,$79.98
SANSUI 24 Inch Gaming Monitor 180Hz,4.4 out of 5 stars,444,1K+ bought in past month,$109.99
Laptop Screen Extender,4.7 out of 5 stars,144,500+ bought in past month,$79.99
Laptop Screen Extender 14-inch,4.3 out of 5 stars,837,200+ bought in past month,$276.00
ASUS ZenScreen 15.6” 1080P Portable Monitor (MB16ACV) - Full HD,4.3 out of 5 stars,116,,$1.18
27 inch Gaming Monitor,4.7 out of 5 stars,4,,$299.00
Intehill Portable Monitor Touchscreen,4.4 out of 5 stars,744,,$279.99
